lambda_value,pair_type,accuracy,total_queries,correct_queries
0.0,noisy_negative,0.1333,15,2
0.0,positive_negative,0.0,15,0
0.1,noisy_negative,0.2,15,3
0.1,positive_negative,0.0,15,0
0.3,noisy_negative,0.4667,15,7
0.3,positive_negative,0.4667,15,7
0.5,noisy_negative,0.4,15,6
0.5,positive_negative,0.8,15,12
0.7,noisy_negative,0.4667,15,7
0.7,positive_negative,0.8,15,12
0.9,noisy_negative,0.5333,15,8
0.9,positive_negative,0.8667,15,13
1.0,noisy_negative,0.6667,15,10
1.0,positive_negative,0.8,15,12
